x y
1306.3035994047432 803.0566077679678
896.6161261579329 191.7643153963907
904.8268837729972 200.1478410222806
903.0606222386873 197.23779897767668
296.77976025527465 1495.386756722745
690.3858517693683 1112.9376112129103
691.6149331410935 1102.864212184908
1287.6428734053254 803.531754094231
586.5579362784545 119.9296086234553
597.3647720944805 84.3820477126905
601.4734501605657 90.00670924987261
303.36134615284067 1494.9243367781123
690.4000896399259 1094.3360427280734
311.47639328221635 1513.0550678400223
696.6811229632401 1102.0722932749716
692.2928136613803 1109.5486323201146
906.3938681229353 218.28606512837518
1299.4971304088667 792.8623963923353
907.6288428868481 191.50975236087945
1303.9484048724687 804.8954922047965
289.1822863273021 1502.4039734044168
588.4517665893795 98.66731392374183
286.1931079325754 1509.8207881903745
306.30893495298983 1483.1694973933306
903.0900929369781 204.79028648150793
710.3111697272997 1107.6809221043902
687.9557485365337 1113.716485311327
1292.483413586065 796.36422188438
582.7245383850441 109.73921742614644
1281.7893995746117 803.895382457996
894.2048730673274 212.88490833518367
691.9874536564026 1089.0057323384215
283.25313831624044 1503.8690005516985
897.2233737573885 202.71739442719132
588.6826463332692 110.23606393994038
698.2368331172595 1105.7000199365111
308.0349909112807 1493.099439193526
903.771066978708 207.18570676356165
1287.40709509168 796.2384701902592
1303.4160841605528 805.3128250662057
289.2046009161338 1499.0796189190585
593.7125929082242 83.5849432286354
611.9931789332646 98.15866748051805
602.7047451820638 106.60349220355977
315.417125361885 1486.1857633096954
1308.0530061833406 796.7749693158983
1299.1848222561823 791.5156128792679
891.4698273074594 196.9186500812236
708.946359079551 1104.0416961413305
604.8652623821692 96.6258611849263
